epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.5801,2.23646,4.04013,1.26821,0.68357,0.07474,0.06494,0.03661,2.10865,2.91792,1.12805,0.000194202,0.000194202,0.000194202
2,26.589,2.18926,2.94076,1.13797,0.62569,0.10602,0.10027,0.05658,2.03285,2.3445,1.09289,0.00038734,0.00038734,0.00038734
3,38.8299,2.16286,2.49911,1.11363,0.62196,0.13655,0.13511,0.07486,1.95572,2.09731,1.08964,0.000577604,0.000577604,0.000577604
4,51.2903,2.05171,2.26845,1.09736,0.51713,0.17194,0.14698,0.08392,1.89082,1.93885,1.0752,0.000575064,0.000575064,0.000575064
5,63.8802,1.99748,2.07616,1.0825,0.38074,0.20767,0.16906,0.09982,1.8311,1.77746,1.0653,0.000570752,0.000570752,0.000570752
6,76.6059,1.96008,1.97916,1.07417,0.56975,0.2415,0.18702,0.11372,1.81496,1.70943,1.04943,0.00056644,0.00056644,0.00056644
7,88.817,1.92313,1.92408,1.07273,0.51682,0.28071,0.22292,0.13469,1.8219,1.67595,1.0514,0.000562128,0.000562128,0.000562128
8,101.949,1.9284,1.85079,1.05344,0.57009,0.28502,0.24757,0.15597,1.8085,1.65197,1.04679,0.000557816,0.000557816,0.000557816
9,114.703,1.90363,1.81578,1.05532,0.51749,0.32149,0.27755,0.17713,1.7445,1.56638,1.03608,0.000553504,0.000553504,0.000553504
10,127.184,1.86145,1.75738,1.0426,0.49967,0.32562,0.28122,0.17817,1.84106,1.61226,1.04307,0.000549192,0.000549192,0.000549192
11,139.749,1.81093,1.68972,1.03835,0.5976,0.33473,0.30374,0.19754,1.72873,1.54166,1.02947,0.00054488,0.00054488,0.00054488
12,152.189,1.81969,1.68124,1.03408,0.56728,0.36607,0.33681,0.21782,1.72877,1.47453,1.02655,0.000540568,0.000540568,0.000540568
13,164.259,1.80631,1.64163,1.03181,0.40538,0.3689,0.32765,0.21686,1.71158,1.46982,1.02096,0.000536256,0.000536256,0.000536256
14,176.999,1.81212,1.61793,1.03099,0.65344,0.36441,0.37301,0.2535,1.69368,1.43471,1.02499,0.000531944,0.000531944,0.000531944
15,189.278,1.77934,1.58654,1.01904,0.47543,0.40903,0.36497,0.2452,1.68463,1.43517,1.01694,0.000527632,0.000527632,0.000527632
16,201.509,1.77348,1.5717,1.02324,0.462,0.39863,0.41246,0.28268,1.68518,1.39486,1.0107,0.00052332,0.00052332,0.00052332
17,213.296,1.74598,1.53576,1.0152,0.6501,0.391,0.42571,0.28877,1.65555,1.38394,1.00609,0.000519008,0.000519008,0.000519008
18,225.39,1.74191,1.52728,1.01274,0.50578,0.40259,0.42944,0.29351,1.6573,1.36526,1.00554,0.000514696,0.000514696,0.000514696
19,237.826,1.77835,1.50915,1.01227,0.51297,0.44481,0.43262,0.2982,1.63513,1.3535,1.00391,0.000510384,0.000510384,0.000510384
20,249.33,1.73066,1.46349,1.01283,0.53372,0.41294,0.43997,0.29272,1.68956,1.3792,1.00786,0.000506072,0.000506072,0.000506072
